rank,word,count,complexity_band
1210,abstinence,1,Band 4 - Upper-Intermediate/Advanced
1211,accelerates,1,Band 4 - Upper-Intermediate/Advanced
1212,accord,1,Band 4 - Upper-Intermediate/Advanced
1213,accordance,1,Band 4 - Upper-Intermediate/Advanced
1214,acquired,1,Band 4 - Upper-Intermediate/Advanced
1215,addictive,1,Band 4 - Upper-Intermediate/Advanced
1216,adjoining,1,Band 4 - Upper-Intermediate/Advanced
1217,admonished,1,Band 4 - Upper-Intermediate/Advanced
1218,adrift,1,Band 4 - Upper-Intermediate/Advanced
1219,adversary,1,Band 4 - Upper-Intermediate/Advanced
1220,affirmative,1,Band 4 - Upper-Intermediate/Advanced
1221,affirms,1,Band 4 - Upper-Intermediate/Advanced
1222,alienated,1,Band 4 - Upper-Intermediate/Advanced
1223,anchored,1,Band 4 - Upper-Intermediate/Advanced
1224,applications,1,Band 4 - Upper-Intermediate/Advanced
1225,apprehensive,1,Band 4 - Upper-Intermediate/Advanced
1226,architectural,1,Band 4 - Upper-Intermediate/Advanced
1227,arming,1,Band 4 - Upper-Intermediate/Advanced
1228,assessments,1,Band 4 - Upper-Intermediate/Advanced
1229,assistant,1,Band 4 - Upper-Intermediate/Advanced
1230,assurances,1,Band 4 - Upper-Intermediate/Advanced
1231,atoning,23,Band 4 - Upper-Intermediate/Advanced
1232,attentive,1,Band 4 - Upper-Intermediate/Advanced
1233,attribute,17,Band 4 - Upper-Intermediate/Advanced
1234,authoritative,1,Band 4 - Upper-Intermediate/Advanced
1235,baptismal,78,Band 4 - Upper-Intermediate/Advanced
1236,beneficial,1,Band 4 - Upper-Intermediate/Advanced
1237,bias,1,Band 4 - Upper-Intermediate/Advanced
1238,binding,1,Band 4 - Upper-Intermediate/Advanced
1239,bishop,17,Band 4 - Upper-Intermediate/Advanced
1240,bishops,1,Band 4 - Upper-Intermediate/Advanced
1241,breach,1,Band 4 - Upper-Intermediate/Advanced
1242,breadth,1,Band 4 - Upper-Intermediate/Advanced
1243,breastplate,1,Band 4 - Upper-Intermediate/Advanced
1244,carnal,1,Band 4 - Upper-Intermediate/Advanced
1245,characteristic,1,Band 4 - Upper-Intermediate/Advanced
1246,cherished,1,Band 4 - Upper-Intermediate/Advanced
1247,circa,1,Band 4 - Upper-Intermediate/Advanced
1248,clarification,1,Band 4 - Upper-Intermediate/Advanced
1249,cleansed,17,Band 4 - Upper-Intermediate/Advanced
1250,cleansing,1,Band 4 - Upper-Intermediate/Advanced
1251,commend,1,Band 4 - Upper-Intermediate/Advanced
1252,companionship,20,Band 4 - Upper-Intermediate/Advanced
1253,compatible,1,Band 4 - Upper-Intermediate/Advanced
1254,comply,1,Band 4 - Upper-Intermediate/Advanced
1255,concoct,1,Band 4 - Upper-Intermediate/Advanced
1256,conditional,1,Band 4 - Upper-Intermediate/Advanced
1257,confidential,1,Band 4 - Upper-Intermediate/Advanced
1258,conform,1,Band 4 - Upper-Intermediate/Advanced
1259,congratulations,1,Band 4 - Upper-Intermediate/Advanced
1260,consolation,1,Band 4 - Upper-Intermediate/Advanced
1261,console,1,Band 4 - Upper-Intermediate/Advanced
1262,consultations,1,Band 4 - Upper-Intermediate/Advanced
1263,contemplated,1,Band 4 - Upper-Intermediate/Advanced
1264,contentions,1,Band 4 - Upper-Intermediate/Advanced
1265,contrary,1,Band 4 - Upper-Intermediate/Advanced
1266,conversion,52,Band 4 - Upper-Intermediate/Advanced
1267,convictions,1,Band 4 - Upper-Intermediate/Advanced
1268,coordination,32,Band 4 - Upper-Intermediate/Advanced
1269,cornerstone,1,Band 4 - Upper-Intermediate/Advanced
1270,counterfeit,1,Band 4 - Upper-Intermediate/Advanced
