rank,word,count,complexity_band
1,able,24,Band 1 - Basic/Everyday
2,act,52,Band 1 - Basic/Everyday
3,adds,1,Band 1 - Basic/Everyday
4,again,34,Band 1 - Basic/Everyday
5,air,1,Band 1 - Basic/Everyday
6,also,194,Band 1 - Basic/Everyday
7,always,26,Band 1 - Basic/Everyday
8,another,39,Band 1 - Basic/Everyday
9,answers,44,Band 1 - Basic/Everyday
10,app,59,Band 1 - Basic/Everyday
11,apps,1,Band 1 - Basic/Everyday
12,ask,149,Band 1 - Basic/Everyday
13,ate,1,Band 1 - Basic/Everyday
14,beautiful,1,Band 1 - Basic/Everyday
15,begin,30,Band 1 - Basic/Everyday
16,believe,34,Band 1 - Basic/Everyday
17,believed,1,Band 1 - Basic/Everyday
18,best,34,Band 1 - Basic/Everyday
19,bet,1,Band 1 - Basic/Everyday
20,better,45,Band 1 - Basic/Everyday
21,big,1,Band 1 - Basic/Everyday
22,bit,1,Band 1 - Basic/Everyday
23,black,1,Band 1 - Basic/Everyday
24,body,37,Band 1 - Basic/Everyday
25,bone,1,Band 1 - Basic/Everyday
26,book,260,Band 1 - Basic/Everyday
27,bow,1,Band 1 - Basic/Everyday
28,box,1,Band 1 - Basic/Everyday
29,break,1,Band 1 - Basic/Everyday
30,bring,36,Band 1 - Basic/Everyday
31,build,86,Band 1 - Basic/Everyday
32,called,58,Band 1 - Basic/Everyday
33,can,587,Band 1 - Basic/Everyday
34,change,28,Band 1 - Basic/Everyday
35,children,106,Band 1 - Basic/Everyday
36,choose,22,Band 1 - Basic/Everyday
37,closer,18,Band 1 - Basic/Everyday
38,clothes,1,Band 1 - Basic/Everyday
39,coffee,1,Band 1 - Basic/Everyday
40,come,141,Band 1 - Basic/Everyday
41,continue,36,Band 1 - Basic/Everyday
42,could,73,Band 1 - Basic/Everyday
43,country,1,Band 1 - Basic/Everyday
44,cut,1,Band 1 - Basic/Everyday
45,dance,1,Band 1 - Basic/Everyday
46,danger,1,Band 1 - Basic/Everyday
47,daughter,1,Band 1 - Basic/Everyday
48,day,102,Band 1 - Basic/Everyday
49,death,41,Band 1 - Basic/Everyday
50,did,60,Band 1 - Basic/Everyday
51,die,23,Band 1 - Basic/Everyday
52,different,25,Band 1 - Basic/Everyday
53,dinner,1,Band 1 - Basic/Everyday
54,do,307,Band 1 - Basic/Everyday
55,doing,32,Band 1 - Basic/Everyday
56,door,1,Band 1 - Basic/Everyday
57,dress,1,Band 1 - Basic/Everyday
58,drop,1,Band 1 - Basic/Everyday
59,dry,1,Band 1 - Basic/Everyday
60,ears,1,Band 1 - Basic/Everyday
61,earth,78,Band 1 - Basic/Everyday
62,easier,1,Band 1 - Basic/Everyday
63,end,61,Band 1 - Basic/Everyday
64,ends,1,Band 1 - Basic/Everyday
65,every,55,Band 1 - Basic/Everyday
66,exam,1,Band 1 - Basic/Everyday
67,example,55,Band 1 - Basic/Everyday
68,extra,1,Band 1 - Basic/Everyday
69,fall,28,Band 1 - Basic/Everyday
70,falls,1,Band 1 - Basic/Everyday
71,family,135,Band 1 - Basic/Everyday
72,fast,17,Band 1 - Basic/Everyday
73,faster,1,Band 1 - Basic/Everyday
74,father,147,Band 1 - Basic/Everyday
75,favorite,1,Band 1 - Basic/Everyday
76,feel,126,Band 1 - Basic/Everyday
77,feet,1,Band 1 - Basic/Everyday
78,felt,24,Band 1 - Basic/Everyday
79,find,178,Band 1 - Basic/Everyday
80,fire,1,Band 1 - Basic/Everyday
81,first,67,Band 1 - Basic/Everyday
82,five,1,Band 1 - Basic/Everyday
83,follow,111,Band 1 - Basic/Everyday
84,foods,1,Band 1 - Basic/Everyday
85,form,20,Band 1 - Basic/Everyday
86,forms,1,Band 1 - Basic/Everyday
87,friend,1,Band 1 - Basic/Everyday
88,friends,33,Band 1 - Basic/Everyday
